This is the DuFort-Frankel scheme error results.
1.27806,2.29256,2.85398,2.89245,2.4626,1.71424,0.845663,0.0567054,-0.487898,-0.681643,-0.487898,0.0567054,0.845663,1.71424,2.4626,2.89245,2.85398,2.29256,1.27806,
0.83685,1.53627,1.99295,2.15669,2.04058,1.71375,1.28233,0.864487,0.565516,0.457364,0.565516,0.864487,1.28233,1.71375,2.04058,2.15669,1.99295,1.53627,0.83685,
This is the Laasonen Simple Implicit scheme Error results.deltaT = 0.1
22.802,21.5514,12.4172,3.76722,-1.53675,-3.68093,-3.91184,-3.40132,-2.87684,-2.67234,-2.87684,-3.40132,-3.91184,-3.68093,-1.53675,3.76722,12.4172,21.5514,22.802,
8.96986,12.9166,12.1658,8.71135,4.49013,0.756963,-1.95805,-3.63461,-4.48835,-4.74288,-4.48835,-3.63461,-1.95805,0.756963,4.49013,8.71135,12.1658,12.9166,8.96986,
4.59989,7.64674,8.56543,7.60957,5.44773,2.81285,0.30159,-1.69068,-2.94779,-3.37511,-2.94779,-1.69068,0.30159,2.81285,5.44773,7.60957,8.56543,7.64674,4.59989,
2.75076,4.84595,5.89114,5.82633,4.8606,3.35297,1.6992,0.251717,-0.724188,-1.06738,-0.724188,0.251717,1.6992,3.35297,4.8606,5.82633,5.89114,4.84595,2.75076,
1.8146,3.29955,4.22148,4.49523,4.18366,3.46045,2.55673,1.7082,1.11234,0.898726,1.11234,1.7082,2.55673,3.46045,4.18366,4.49523,4.22148,3.29955,1.8146,
This is the Crank-Nicholson Implicit scheme Error results.deltaT = 0.01
0.172644,0.132332,-0.133658,-0.448542,-0.625234,-0.607633,-0.464542,-0.299474,-0.182756,-0.142079,-0.182756,-0.299474,-0.464542,-0.607633,-0.625234,-0.448542,-0.133658,0.132332,0.172644,
0.0808921,0.113863,0.0742244,-0.0296673,-0.164497,-0.291306,-0.383788,-0.43605,-0.457969,-0.463244,-0.457969,-0.43605,-0.383788,-0.291306,-0.164497,-0.0296673,0.0742244,0.113863,0.0808921,
